Date,Blackout,Notes (Blackout),Showered in morning,Notes (Showered in morning),Hrs Sleep: <6.5'6.5-7.5'7.5+,Notes (Hrs Sleep: <6.5'6.5-7.5'7.5+),Woke up during night,Notes (Woke up during night),Tired at night,Notes (Tired at night),Happy (woke up),Notes (Happy (woke up)),Happy (throughout day),Notes (Happy (throughout day)),Worked/studied 3+'6+ hrs,Notes (Worked/studied 3+'6+ hrs),Productive @ work,Notes (Productive @ work),Ate well,Notes (Ate well),2x coffee neutral' 3+ bad,Notes (2x coffee neutral' 3+ bad),No Alcohol (one drink=neut),Notes (No Alcohol (one drink=neut)),Bike,Notes (Bike),Miles: <6'6-9'9+,Notes (Miles: <6'6-9'9+),Fatigued on run,Notes (Fatigued on run),Hard running workout,Notes (Hard running workout),Saw pru,Notes (Saw pru),Blazed,Notes (Blazed),Saw john/Caleb/friends,Notes (Saw john/Caleb/friends),Read/podcasts/learned,Notes (Read/podcasts/learned),Sex,Notes (Sex),hu,Notes (hu),Good sex,Notes (Good sex),Wack,Notes (Wack),Porn,Notes (Porn),Felt aggressive/got angry,Notes (Felt aggressive/got angry),Travelled (num hours),Notes (Travelled (num hours)),Very deep conversation,Notes (Very deep conversation)
9/17/2015,Yes,-,Yes,-,No,6.5,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,No,-,No,-,Yes,10.5,No,-,Yes,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,No,-
9/18/2015,No,-,Yes,-,Skip,7.25,Yes,-,No,-,Skip,-,Yes,-,Yes,-,No,-,Skip,-,Yes,-,No,-,Yes,2,No,1,Yes,-,No,-,No,-,No,-,Yes,-,No,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,Yes,Sabrina a datenight
9/19/2015,No,-,No,-,No,5.75,Yes,-,No,-,Yes,-,No,-,No,-,No,-,No,-,Yes,-,Yes,-,Yes,3,Skip,8,No,-,No,-,No,-,Yes,-,Yes,-,No,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,Yes,Walked on river high af with jono
9/20/2015,No,-,Yes,-,No,6,No,-,Yes,-,Skip,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,Yes,-,No,-,Yes,12,No,-,Yes,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,No,-,No,-,No,-,No,-
9/21/2015,No,-,Yes,-,Skip,6.5,No,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,Yes,-,Yes,12,No,0,Skip,-,No,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,No,-
9/22/2015,No,-,Yes,-,Skip,7,No,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,Yes,-,No,-,Skip,8,No,-,Yes,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,No,-,No,-,No,-,No,-
9/23/2015,No,-,Yes,-,Skip,7,No,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,13,No,4.5,No,-,No,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,No,-
9/24/2015,No,-,Yes,-,Skip,6.75,No,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Skip,-,Skip,-,No,-,Yes,3,Yes,10,No,-,Yes,-,No,-,No,-,Yes,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,No,-
9/25/2015,No,-,Yes,-,Yes,7.5,No,-,Yes,-,Yes,-,Yes,-,No,-,Skip,-,No,-,Skip,-,Skip,-,Yes,6,Skip,8,Yes,-,No,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
9/26/2015,No,-,Yes,-,Yes,8.5,No,-,Yes,-,Yes,-,No,-,Yes,-,No,-,No,-,Yes,-,No,-,No,-,Yes,10,No,-,Yes,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,No,-
9/27/2015,No,-,Yes,-,No,6.5,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,Yes,-,No,-,Yes,-,Yes,-,Yes,2,Yes,14,No,-,Yes,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,Yes,-,Yes,-,No,-,No,-,No,-
9/28/2015,No,-,Yes,-,Skip,7,No,-,Yes,-,Skip,-,Yes,-,Yes,-,Yes,-,Skip,-,Yes,-,Yes,-,No,-,Yes,9.5,No,-,Yes,-,No,-,Yes,-,Yes,-,Yes,-,No,-,-,-,Skip,-,No,-,No,-,No,-,No,-,No,-
